BY COUNTY 


County,Total Eligible People,Courses Allocated,Vaccine Allocation%
Pulaski,2926,2926,100.0
Washington,1381,1381,100.0
Benton,1255,1255,100.0
Sebastian,1132,1132,100.0
Garland,1025,1025,100.0
Saline,902,902,100.0
Faulkner,736,736,100.0
Craighead,711,711,100.0
Lonoke,552,552,100.0
Crawford,520,520,100.0
White,512,512,100.0
Baxter,482,482,100.0
Jefferson,461,461,100.0
Pope,437,437,100.0
Greene,416,416,100.0
Union,415,415,100.0
Boone,356,356,100.0
Mississippi,347,347,100.0
Independence,308,308,100.0
Hot Spring,286,286,100.0
Columbia,276,276,100.0
Miller,260,260,100.0
Crittenden,259,259,100.0
Yell,236,236,100.0
Ouachita,223,223,100.0
Carroll,217,217,100.0
Nevada,217,217,100.0
Cleburne,216,216,100.0
Ashley,211,211,100.0
Drew,208,208,100.0
Clark,207,207,100.0
Sharp,206,206,100.0
Arkansas,201,201,100.0
Logan,192,192,100.0
Hempstead,184,184,100.0
Franklin,179,179,100.0
Johnson,178,178,100.0
Van Buren,165,165,100.0
Clay,164,164,100.0
Marion,163,163,100.0
Lawrence,162,162,100.0
Howard,152,152,100.0
Jackson,147,147,100.0
Grant,134,134,100.0
Little River,134,134,100.0
Izard,131,131,100.0
Scott,125,125,100.0
Madison,123,123,100.0
Bradley,122,122,100.0
Montgomery,118,118,100.0
Pike,116,116,100.0
Chicot,115,115,100.0
Randolph,110,110,100.0
Polk,110,110,100.0
Lincoln,105,105,100.0
St. Francis,97,97,100.0
Dallas,96,96,100.0
Poinsett,93,93,100.0
Prairie,92,92,100.0
Stone,91,91,100.0
Woodruff,90,90,100.0
Fulton,74,74,100.0
Desha,70,70,100.0
Lee,68,68,100.0
Cleveland,66,66,100.0
Conway,59,59,100.0
Perry,54,54,100.0
Phillips,46,46,100.0
Searcy,45,45,100.0
Monroe,44,44,100.0
Cross,43,43,100.0
Sevier,42,42,100.0
Lafayette,39,39,100.0
Newton,37,37,100.0



 BY POPULATION 


CATEGORY,Total Eligible People,Courses Allocated,Vaccine Allocation%
Long-term care facillity residents,22472,22472,100.0
