BY COUNTY 


County,Total Eligible People,Courses Allocated,Vaccine Allocation%
Cass,42106,6550,15.6
Burleigh,22481,3497,15.6
Williams,18074,2811,15.6
Grand Forks,14389,2238,15.6
Ward,14376,2236,15.6
Stark,9601,1493,15.6
McKenzie,6444,1002,15.5
Morton,3896,606,15.6
Stutsman,3634,565,15.5
Mountrail,3144,489,15.6
Ramsey,2181,339,15.5
Mercer,1959,304,15.5
Richland,1543,240,15.6
Rolette,1538,239,15.5
Dunn,1320,205,15.5
Barnes,1225,190,15.5
McLean,1058,164,15.5
Bottineau,996,154,15.5
Walsh,991,154,15.5
Traill,891,138,15.5
Pembina,857,133,15.5
Benson,728,113,15.5
Ransom,480,74,15.4
Pierce,430,66,15.3
Foster,365,56,15.3
Dickey,351,54,15.4
Wells,344,53,15.4
Cavalier,335,52,15.5
Divide,331,51,15.4
Sargent,333,51,15.3
Bowman,327,50,15.3
McHenry,308,47,15.3
Sioux,303,47,15.5
LaMoure,278,43,15.5
Burke,261,40,15.3
Nelson,243,37,15.2
Emmons,232,36,15.5
Renville,220,34,15.5
Adams,221,34,15.4
Towner,194,30,15.5
McIntosh,189,29,15.3
Grant,177,27,15.3
Hettinger,179,27,15.1
Kidder,170,26,15.3
Logan,173,26,15.0
Griggs,161,25,15.5
Golden Valley,158,24,15.2
Eddy,137,21,15.3
Oliver,124,19,15.3
Steele,125,19,15.2
Slope,119,18,15.1
Sheridan,107,16,15.0
Billings,78,12,15.4



 BY POPULATION 


CATEGORY,Total Eligible People,Courses Allocated,Vaccine Allocation%
Other essential workers,160885,25004,15.5
