BY COUNTY 


County,Total Eligible People,Courses Allocated,Vaccine Allocation%
Jefferson,29661,16177,54.5
East Baton Rouge,23831,12997,54.5
Orleans,21193,11558,54.5
Caddo,17191,9376,54.5
St. Tammany,15828,8632,54.5
Lafayette,12194,6650,54.5
Calcasieu,12099,6598,54.5
Ouachita,9500,5181,54.5
Rapides,8808,4803,54.5
Bossier,7438,4056,54.5
Tangipahoa,6871,3747,54.5
Livingston,6540,3566,54.5
Terrebonne,6224,3394,54.5
Lafourche,6140,3348,54.5
St. Landry,5467,2981,54.5
Ascension,5163,2815,54.5
Iberia,4298,2344,54.5
Vermilion,4047,2207,54.5
Acadia,3791,2067,54.5
St. Mary,3429,1870,54.5
Webster,3390,1848,54.5
Washington,3132,1708,54.5
St. Martin,3087,1683,54.5
Avoyelles,2909,1586,54.5
Lincoln,2786,1519,54.5
Natchitoches,2638,1438,54.5
St. Charles,2580,1407,54.5
Beauregard,2287,1247,54.5
Vernon,2268,1236,54.5
Jefferson Davis,2237,1220,54.5
St. John the Baptist,2147,1170,54.5
Evangeline,2125,1158,54.5
Iberville,2034,1109,54.5
Morehouse,1949,1062,54.5
De Soto,1923,1048,54.5
Sabine,1907,1040,54.5
Union,1856,1012,54.5
St. Bernard,1833,999,54.5
Pointe Coupee,1815,989,54.5
Franklin,1583,863,54.5
Assumption,1519,828,54.5
St. James,1498,817,54.5
Richland,1458,795,54.5
Allen,1428,778,54.5
Jackson,1409,768,54.5
Concordia,1405,766,54.5
West Baton Rouge,1384,754,54.5
Claiborne,1314,716,54.5
Bienville,1299,708,54.5
Grant,1293,705,54.5
East Feliciana,1252,682,54.5
Plaquemines,1206,657,54.5
Winn,1118,609,54.5
LaSalle,1001,545,54.4
West Carroll,942,513,54.5
West Feliciana,800,436,54.5
Catahoula,721,393,54.5
Caldwell,702,382,54.4
Red River,689,375,54.4
St. Helena,660,359,54.4
Madison,648,353,54.5
Cameron,469,255,54.4
Tensas,452,246,54.4
East Carroll,431,235,54.5



 BY POPULATION 


CATEGORY,Total Eligible People,Courses Allocated,Vaccine Allocation%
Aged 75+,281297,153384,54.5
