BY COUNTY 


County,Total Eligible People,Courses Allocated,Vaccine Allocation%
East Baton Rouge,131179,14297,10.9
Jefferson,127429,13889,10.9
Orleans,109524,11937,10.9
Caddo,79016,8612,10.9
Calcasieu,65570,7146,10.9
St. Tammany,63041,6871,10.9
Lafayette,61784,6734,10.9
Ouachita,49785,5426,10.9
Tangipahoa,44045,4800,10.9
Livingston,42897,4675,10.9
Rapides,39562,4312,10.9
Bossier,37593,4097,10.9
Terrebonne,35637,3884,10.9
Ascension,34983,3812,10.9
Lafourche,31420,3424,10.9
St. Landry,26182,2853,10.9
Iberia,21771,2372,10.9
Acadia,19891,2168,10.9
St. Martin,17554,1913,10.9
Vermilion,17141,1868,10.9
Washington,16785,1829,10.9
St. Mary,16528,1801,10.9
St. Charles,16245,1770,10.9
St. John the Baptist,14586,1589,10.9
St. Bernard,14033,1529,10.9
Vernon,13496,1470,10.9
Lincoln,12935,1409,10.9
Webster,12874,1403,10.9
Avoyelles,12810,1396,10.9
Iberville,11938,1301,10.9
Natchitoches,11623,1266,10.9
Beauregard,11082,1207,10.9
Evangeline,10812,1178,10.9
Jefferson Davis,9201,1002,10.9
De Soto,8530,929,10.9
Morehouse,8504,926,10.9
West Baton Rouge,7877,858,10.9
Allen,7672,836,10.9
Sabine,7669,835,10.9
Grant,7654,834,10.9
Concordia,7045,767,10.9
Assumption,6978,760,10.9
Richland,6858,747,10.9
St. James,6822,743,10.9
Pointe Coupee,6750,735,10.9
Union,6606,720,10.9
Franklin,6586,717,10.9
East Feliciana,6371,694,10.9
Plaquemines,6363,693,10.9
Claiborne,6237,679,10.9
West Feliciana,5420,590,10.9
Jackson,5067,552,10.9
LaSalle,4908,534,10.9
Bienville,4677,509,10.9
Winn,4635,505,10.9
Madison,4155,452,10.9
St. Helena,3497,381,10.9
West Carroll,3416,372,10.9
Catahoula,3391,369,10.9
Caldwell,3381,368,10.9
East Carroll,2956,322,10.9
Red River,2845,310,10.9
Cameron,2071,225,10.9
Tensas,1704,185,10.9



 BY POPULATION 


CATEGORY,Total Eligible People,Courses Allocated,Vaccine Allocation%
Aged 18-64 w cormorbidities,1407597,153387,10.9
