BY COUNTY 


County,Total Eligible People,Courses Allocated,Vaccine Allocation%
Milwaukee,70539,37724,53.5
Dane,37489,20049,53.5
Waukesha,24496,13100,53.5
Brown,21437,11464,53.5
La Crosse,11431,6113,53.5
Outagamie,10782,5766,53.5
Eau Claire,10055,5377,53.5
Winnebago,8920,4770,53.5
Marathon,8561,4578,53.5
Rock,8517,4554,53.5
Racine,8270,4422,53.5
Kenosha,7305,3906,53.5
Washington,6241,3337,53.5
Sheboygan,5905,3157,53.5
Ozaukee,5814,3109,53.5
Fond du Lac,4647,2485,53.5
Walworth,4461,2385,53.5
Dodge,3840,2053,53.5
St. Croix,3831,2048,53.5
Manitowoc,3695,1976,53.5
Sauk,3579,1914,53.5
Wood,3536,1891,53.5
Jefferson,3446,1842,53.5
Chippewa,2894,1547,53.5
Monroe,2862,1530,53.5
Portage,2844,1520,53.4
Columbia,2595,1387,53.4
Waupaca,2504,1339,53.5
Polk,2337,1249,53.4
Barron,2210,1181,53.4
Marinette,2154,1151,53.4
Grant,2047,1094,53.4
Dunn,1822,974,53.5
Oneida,1761,941,53.4
Douglas,1742,931,53.4
Calumet,1377,736,53.4
Oconto,1328,710,53.5
Vernon,1194,638,53.4
Green,1178,629,53.4
Clark,1077,575,53.4
Juneau,1046,559,53.4
Door,1002,535,53.4
Shawano,948,506,53.4
Lincoln,934,499,53.4
Pierce,924,494,53.5
Iowa,900,481,53.4
Trempealeau,875,467,53.4
Ashland,760,406,53.4
Richland,706,377,53.4
Vilas,685,366,53.4
Washburn,678,362,53.4
Jackson,672,359,53.4
Waushara,658,351,53.3
Taylor,653,349,53.4
Green Lake,643,343,53.3
Langlade,627,335,53.4
Crawford,608,325,53.5
Price,565,302,53.5
Rusk,540,288,53.3
Sawyer,531,283,53.3
Adams,495,264,53.3
Burnett,476,254,53.4
Bayfield,338,180,53.3
Kewaunee,324,173,53.4
Lafayette,317,169,53.3
Marquette,263,140,53.2
Buffalo,214,114,53.3
Pepin,160,85,53.1
Forest,130,69,53.1
Iron,91,48,52.7
Florence,38,20,52.6
Menominee,6,3,50.0



 BY POPULATION 


CATEGORY,Total Eligible People,Courses Allocated,Vaccine Allocation%
Health care personnel,328530,175658,53.5
