BY COUNTY 


County,Total Eligible People,Courses Allocated,Vaccine Allocation%
Los Angeles,1642770,292696,17.8
Orange,618364,110175,17.8
San Diego,581860,103671,17.8
Riverside,344419,61366,17.8
Sacramento,333134,59355,17.8
San Bernardino,331851,59126,17.8
Santa Clara,321318,57250,17.8
San Francisco,281798,50208,17.8
Alameda,271857,48437,17.8
Contra Costa,151192,26938,17.8
San Mateo,146946,26181,17.8
Fresno,138201,24623,17.8
Kern,127212,22665,17.8
Ventura,125476,22356,17.8
San Joaquin,107851,19216,17.8
Placer,75595,13468,17.8
Sonoma,75482,13448,17.8
Santa Barbara,72319,12885,17.8
Stanislaus,67674,12057,17.8
Monterey,61294,10920,17.8
Solano,58979,10508,17.8
San Luis Obispo,50584,9012,17.8
Tulare,47869,8528,17.8
Marin,45901,8178,17.8
Santa Cruz,35757,6370,17.8
Yolo,34540,6154,17.8
Butte,29819,5312,17.8
El Dorado,26741,4764,17.8
Napa,26345,4693,17.8
Shasta,25029,4459,17.8
Merced,24055,4285,17.8
Imperial,23284,4148,17.8
Humboldt,19040,3392,17.8
Kings,18916,3370,17.8
Madera,14596,2600,17.8
Nevada,14225,2534,17.8
Sutter,11838,2109,17.8
Mendocino,11479,2045,17.8
Yuba,6704,1194,17.8
Lassen,6601,1176,17.8
Tuolumne,6457,1150,17.8
San Benito,6227,1109,17.8
Amador,5932,1056,17.8
Tehama,5852,1042,17.8
Lake,5664,1009,17.8
Siskiyou,4896,872,17.8
Calaveras,4685,834,17.8
Mono,4529,806,17.8
Del Norte,3962,705,17.8
Glenn,3528,628,17.8
Inyo,3462,616,17.8
Colusa,2537,452,17.8
Plumas,2263,403,17.8
Mariposa,2231,397,17.8
Trinity,1129,201,17.8
Modoc,904,161,17.8
Alpine,297,52,17.5
Sierra,169,30,17.8



 BY POPULATION 


CATEGORY,Total Eligible People,Courses Allocated,Vaccine Allocation%
Other essential workers,6473639,1153395,17.8
