BY COUNTY 


County,Total Eligible People,Courses Allocated,Vaccine Allocation%
New York,1003364,178874,17.8
Queens,299038,53311,17.8
Kings,240257,42831,17.8
Suffolk,222605,39684,17.8
Nassau,220855,39372,17.8
Erie,169986,30304,17.8
Westchester,146139,26052,17.8
Monroe,112200,20002,17.8
Albany,103514,18453,17.8
Bronx,90671,16164,17.8
Onondaga,81273,14488,17.8
Orange,49712,8862,17.8
Richmond,47176,8410,17.8
Dutchess,39436,7030,17.8
Rockland,38509,6865,17.8
Oneida,34256,6106,17.8
Saratoga,31582,5630,17.8
Broome,27813,4958,17.8
Niagara,25512,4548,17.8
Ulster,22239,3964,17.8
Schenectady,20673,3685,17.8
Rensselaer,18616,3318,17.8
Ontario,17795,3172,17.8
Jefferson,15546,2771,17.8
Chautauqua,14786,2635,17.8
Oswego,13696,2441,17.8
Chemung,13490,2404,17.8
Tompkins,12520,2232,17.8
Warren,12200,2174,17.8
St. Lawrence,11102,1979,17.8
Cattaraugus,11042,1968,17.8
Clinton,10514,1874,17.8
Steuben,9607,1712,17.8
Putnam,9538,1700,17.8
Cayuga,8664,1544,17.8
Livingston,8163,1455,17.8
Sullivan,7821,1394,17.8
Columbia,7454,1328,17.8
Wayne,7386,1316,17.8
Madison,6975,1243,17.8
Genesee,6873,1225,17.8
Otsego,6707,1195,17.8
Greene,6463,1152,17.8
Cortland,6035,1075,17.8
Essex,5853,1043,17.8
Herkimer,5614,1000,17.8
Washington,5286,942,17.8
Montgomery,4849,864,17.8
Chenango,4848,864,17.8
Franklin,4783,852,17.8
Wyoming,4583,817,17.8
Fulton,4537,808,17.8
Orleans,4307,767,17.8
Seneca,4261,759,17.8
Delaware,3833,683,17.8
Allegany,3479,620,17.8
Tioga,3147,561,17.8
Schoharie,2626,468,17.8
Lewis,2062,367,17.8
Schuyler,1734,309,17.8
Yates,1729,308,17.8
Hamilton,806,143,17.7



 BY POPULATION 


CATEGORY,Total Eligible People,Courses Allocated,Vaccine Allocation%
Other essential workers,3338140,595075,17.8
