BY COUNTY 


County,Total Eligible People,Courses Allocated,Vaccine Allocation%
Minnehaha,25267,12536,49.6
Pennington,6533,3241,49.6
Brown,2787,1382,49.6
Lincoln,2357,1169,49.6
Meade,1539,763,49.6
Codington,1378,683,49.6
Davison,1306,648,49.6
Yankton,1229,609,49.6
Lawrence,1065,528,49.6
Union,948,470,49.6
Brookings,903,448,49.6
Beadle,848,420,49.5
Hughes,733,363,49.5
Fall River,619,307,49.6
Clay,608,301,49.5
Roberts,518,257,49.6
Oglala Lakota,469,232,49.5
Lake,467,231,49.5
Grant,402,199,49.5
Hutchinson,400,198,49.5
Charles Mix,391,194,49.6
Dewey,338,167,49.4
Turner,338,167,49.4
Day,296,146,49.3
McCook,273,135,49.5
Todd,236,117,49.6
Butte,226,112,49.6
Spink,223,110,49.3
Kingsbury,221,109,49.3
Moody,216,107,49.5
Tripp,215,106,49.3
Custer,210,104,49.5
Bon Homme,191,94,49.2
Brule,185,91,49.2
Walworth,173,85,49.1
Douglas,170,84,49.4
Hand,160,79,49.4
Gregory,120,59,49.2
Hamlin,106,52,49.1
Deuel,89,44,49.4
Buffalo,89,44,49.4
Marshall,85,42,49.4
Corson,79,39,49.4
Edmunds,77,38,49.4
Lyman,69,34,49.3
Jackson,57,28,49.1
Clark,58,28,48.3
Bennett,58,28,48.3
Jerauld,53,26,49.1
Faulk,53,26,49.1
McPherson,52,25,48.1
Perkins,47,23,48.9
Potter,39,19,48.7
Aurora,34,16,47.1
Sanborn,34,16,47.1
Haakon,32,15,46.9
Miner,31,15,48.4
Campbell,19,9,47.4
Hanson,15,7,46.7
Harding,14,6,42.9
Hyde,14,6,42.9
Mellette,13,6,46.2
Stanley,8,3,37.5
Sully,4,1,25.0
Jones,1,0,0.0
Ziebach,1,0,0.0



 BY POPULATION 


CATEGORY,Total Eligible People,Courses Allocated,Vaccine Allocation%
Health care personnel,55789,27647,49.6
