BY COUNTY 


County,Total Eligible People,Courses Allocated,Vaccine Allocation%
Minnehaha,1537,1537,100.0
Pennington,758,758,100.0
Lincoln,407,407,100.0
Brown,301,301,100.0
Brookings,271,271,100.0
Codington,197,197,100.0
Lawrence,189,189,100.0
Meade,184,184,100.0
Davison,169,169,100.0
Beadle,165,165,100.0
Yankton,147,147,100.0
Hughes,135,135,100.0
Union,134,134,100.0
Clay,117,117,100.0
Oglala Lakota,112,112,100.0
Lake,87,87,100.0
Charles Mix,84,84,100.0
Roberts,79,79,100.0
Butte,71,71,100.0
Turner,70,70,100.0
Spink,62,62,100.0
Fall River,59,59,100.0
Todd,56,56,100.0
Custer,54,54,100.0
McCook,53,53,100.0
Grant,51,51,100.0
Hutchinson,50,50,100.0
Kingsbury,49,49,100.0
Bon Homme,46,46,100.0
Brule,45,45,100.0
Hamlin,44,44,100.0
Dewey,43,43,100.0
Tripp,43,43,100.0
Edmunds,39,39,100.0
Moody,38,38,100.0
Day,38,38,100.0
Gregory,37,37,100.0
Deuel,36,36,100.0
Douglas,34,34,100.0
Clark,33,33,100.0
Walworth,33,33,100.0
Hand,32,32,100.0
Lyman,29,29,100.0
Hanson,27,27,100.0
Marshall,26,26,100.0
Aurora,23,23,100.0
McPherson,23,23,100.0
Bennett,23,23,100.0
Miner,22,22,100.0
Corson,22,22,100.0
Jackson,22,22,100.0
Ziebach,22,22,100.0
Sanborn,22,22,100.0
Stanley,21,21,100.0
Potter,21,21,100.0
Faulk,19,19,100.0
Mellette,16,16,100.0
Buffalo,16,16,100.0
Perkins,16,16,100.0
Haakon,13,13,100.0
Jerauld,13,13,100.0
Hyde,13,13,100.0
Campbell,12,12,100.0
Harding,10,10,100.0
Sully,10,10,100.0
Jones,8,8,100.0



 BY POPULATION 


CATEGORY,Total Eligible People,Courses Allocated,Vaccine Allocation%
Aged under 65 w cancer,6638,6638,100.0
