BY COUNTY 


County,Total Eligible People,Courses Allocated,Vaccine Allocation%
Salt Lake,46749,33593,71.9
Utah,18711,13445,71.9
Washington,15447,11100,71.9
Davis,13624,9790,71.9
Weber,11391,8185,71.9
Cache,4840,3478,71.9
Box Elder,2963,2129,71.9
Iron,2414,1734,71.8
Tooele,2209,1587,71.8
Sanpete,1635,1174,71.8
Summit,1468,1054,71.8
Sevier,1431,1028,71.8
Carbon,1379,990,71.8
Uintah,1373,986,71.8
Wasatch,1154,829,71.8
Duchesne,982,705,71.8
Millard,959,689,71.8
San Juan,878,630,71.8
Emery,663,476,71.8
Kane,617,443,71.8
Grand,616,442,71.8
Morgan,538,386,71.7
Juab,521,374,71.8
Garfield,425,305,71.8
Beaver,358,257,71.8
Rich,215,154,71.6
Piute,191,137,71.7
Wayne,182,130,71.4
Daggett,15,10,66.7



 BY POPULATION 


CATEGORY,Total Eligible People,Courses Allocated,Vaccine Allocation%
Aged 75+,133948,96240,71.8
