BY COUNTY 


County,Total Eligible People,Courses Allocated,Vaccine Allocation%
Wayne,177714,49496,27.9
Oakland,129751,36137,27.9
Macomb,109899,30608,27.9
Kent,107271,29876,27.9
Ottawa,60713,16909,27.9
Kalamazoo,34023,9475,27.8
Genesee,31360,8734,27.9
Washtenaw,31092,8659,27.8
Ingham,27054,7534,27.8
Saginaw,22842,6361,27.8
Muskegon,21853,6086,27.8
Berrien,20606,5739,27.9
Allegan,20010,5573,27.9
Livingston,19044,5304,27.9
Calhoun,17749,4943,27.8
Jackson,17427,4853,27.8
St. Clair,14631,4074,27.8
Monroe,13951,3885,27.8
Eaton,11881,3309,27.9
Grand Traverse,10801,3008,27.8
St. Joseph,10693,2978,27.8
Lenawee,10029,2793,27.8
Bay,9924,2763,27.8
Midland,9019,2511,27.8
Lapeer,8856,2466,27.8
Ionia,7346,2045,27.8
Barry,6641,1849,27.8
Montcalm,6534,1819,27.8
Hillsdale,6393,1780,27.8
Isabella,6285,1750,27.8
Van Buren,6242,1738,27.8
Clinton,6195,1725,27.8
Sanilac,5359,1492,27.8
Newaygo,5034,1402,27.9
Wexford,5009,1395,27.8
Branch,4846,1349,27.8
Shiawassee,4705,1310,27.8
Cass,4594,1279,27.8
Marquette,4459,1241,27.8
Dickinson,4258,1185,27.8
Mecosta,4169,1161,27.8
Delta,4124,1148,27.8
Gratiot,4089,1138,27.8
Tuscola,4080,1136,27.8
Emmet,3656,1018,27.8
Charlevoix,3655,1017,27.8
Huron,3548,988,27.8
Mason,3467,965,27.8
Menominee,3332,928,27.9
Alpena,3285,914,27.8
Oceana,3060,852,27.8
Otsego,3056,851,27.8
Osceola,2986,831,27.8
Houghton,2925,814,27.8
Iosco,2425,675,27.8
Manistee,2368,659,27.8
Chippewa,2356,656,27.8
Clare,2204,613,27.8
Arenac,1986,553,27.8
Antrim,1907,531,27.8
Cheboygan,1690,470,27.8
Ogemaw,1650,459,27.8
Gogebic,1626,452,27.8
Crawford,1559,434,27.8
Roscommon,1429,397,27.8
Missaukee,1406,391,27.8
Benzie,1364,379,27.8
Leelanau,1255,349,27.8
Gladwin,1191,331,27.8
Iron,1182,329,27.8
Montmorency,1126,313,27.8
Kalkaska,1035,288,27.8
Baraga,941,262,27.8
Alger,912,254,27.9
Alcona,737,205,27.8
Schoolcraft,670,186,27.8
Mackinac,641,178,27.8
Presque Isle,641,178,27.8
Oscoda,606,168,27.7
Lake,596,165,27.7
Luce,475,132,27.8
Ontonagon,334,93,27.8
Keweenaw,122,33,27.0



 BY POPULATION 


CATEGORY,Total Eligible People,Courses Allocated,Vaccine Allocation%
Frontline essential workers,1117959,311327,27.8
