BY COUNTY 


County,Total Eligible People,Courses Allocated,Vaccine Allocation%
Anchorage,2264,2264,100.0
Matanuska-Susitna,519,519,100.0
Fairbanks North Star,462,462,100.0
Kenai Peninsula,379,379,100.0
Juneau City and Borough,157,157,100.0
Ketchikan Gateway,114,114,100.0
Sitka City and Borough,102,102,100.0
Wrangell City and Borough,95,95,100.0
Kodiak Island,55,55,100.0
North Slope,32,32,100.0
Petersburg,30,30,100.0
Nome,22,22,100.0
Northwest Arctic,22,22,100.0
Dillingham,19,19,100.0
Valdez-Cordova,18,18,100.0
Bethel,15,15,100.0
Haines,10,10,100.0
Southeast Fairbanks,10,10,100.0



 BY POPULATION 


CATEGORY,Total Eligible People,Courses Allocated,Vaccine Allocation%
Long-term care facillity residents,4325,4325,100.0
