BY COUNTY 


County,Total Eligible People,Courses Allocated,Vaccine Allocation%
Kanawha,56756,5720,10.1
Berkeley,37324,3761,10.1
Cabell,31586,3183,10.1
Monongalia,30016,3025,10.1
Wood,28552,2877,10.1
Raleigh,25601,2580,10.1
Harrison,21350,2151,10.1
Mercer,20401,2056,10.1
Marion,18381,1852,10.1
Putnam,17369,1750,10.1
Jefferson,16062,1618,10.1
Fayette,15779,1590,10.1
Wayne,15338,1545,10.1
Logan,13459,1356,10.1
Greenbrier,11697,1178,10.1
Ohio,11644,1173,10.1
Preston,11267,1135,10.1
Marshall,10135,1021,10.1
Hancock,10017,1009,10.1
Randolph,9997,1007,10.1
Jackson,9229,930,10.1
Mingo,9029,909,10.1
Mason,8598,866,10.1
Boone,8550,861,10.1
Hampshire,8475,854,10.1
Mineral,8347,841,10.1
Nicholas,8105,816,10.1
Upshur,7590,764,10.1
Lincoln,7444,750,10.1
Wyoming,7259,731,10.1
McDowell,7246,730,10.1
Brooke,7149,720,10.1
Barbour,6037,608,10.1
Taylor,5791,583,10.1
Lewis,5592,563,10.1
Morgan,5327,536,10.1
Wetzel,5226,526,10.1
Roane,5140,518,10.1
Braxton,5024,506,10.1
Summers,4848,488,10.1
Hardy,4489,452,10.1
Monroe,4340,437,10.1
Grant,3898,392,10.1
Ritchie,3336,336,10.1
Clay,3233,325,10.1
Gilmer,3135,315,10.0
Webster,2989,301,10.1
Pocahontas,2955,297,10.1
Tyler,2815,283,10.1
Doddridge,2786,280,10.1
Calhoun,2574,259,10.1
Pleasants,2553,257,10.1
Pendleton,2484,250,10.1
Tucker,2332,235,10.1
Wirt,2139,215,10.1



 BY POPULATION 


CATEGORY,Total Eligible People,Courses Allocated,Vaccine Allocation%
Aged 18-64 w cormorbidities,598795,60321,10.1
