BY COUNTY 


County,Total Eligible People,Courses Allocated,Vaccine Allocation%
Laramie,277,277,100.0
Natrona,236,236,100.0
Albany,154,154,100.0
Campbell,141,141,100.0
Sweetwater,127,127,100.0
Fremont,102,102,100.0
Sheridan,78,78,100.0
Park,75,75,100.0
Teton,73,73,100.0
Uinta,57,57,100.0
Lincoln,49,49,100.0
Carbon,39,39,100.0
Converse,37,37,100.0
Goshen,32,32,100.0
Big Horn,28,28,100.0
Sublette,24,24,100.0
Washakie,19,19,100.0
Johnson,18,18,100.0
Platte,17,17,100.0
Crook,16,16,100.0
Weston,16,16,100.0
Hot Springs,11,11,100.0
Niobrara,8,8,100.0



 BY POPULATION 


CATEGORY,Total Eligible People,Courses Allocated,Vaccine Allocation%
Aged 15-49 and prgnant,1634,1634,100.0
