BY COUNTY 


County,Total Eligible People,Courses Allocated,Vaccine Allocation%
Chittenden,9922,3889,39.2
Windsor,5082,1992,39.2
Rutland,4917,1927,39.2
Washington,4386,1719,39.2
Windham,3549,1391,39.2
Bennington,3466,1358,39.2
Franklin,2933,1149,39.2
Addison,2677,1049,39.2
Orleans,2325,911,39.2
Caledonia,2291,898,39.2
Orange,2157,845,39.2
Lamoille,1680,658,39.2
Essex,637,249,39.1
Grand Isle,413,161,39.0



 BY POPULATION 


CATEGORY,Total Eligible People,Courses Allocated,Vaccine Allocation%
Aged 75+,46435,18196,39.2
