BY COUNTY 


County,Total Eligible People,Courses Allocated,Vaccine Allocation%
Ada,80394,11985,14.9
Canyon,51602,7693,14.9
Kootenai,32455,4838,14.9
Bonneville,23560,3512,14.9
Twin Falls,17532,2613,14.9
Bannock,17114,2551,14.9
Bingham,10529,1569,14.9
Nez Perce,9612,1433,14.9
Madison,7960,1186,14.9
Latah,7886,1175,14.9
Bonner,7742,1154,14.9
Jefferson,6175,920,14.9
Payette,5779,861,14.9
Elmore,5750,857,14.9
Jerome,5303,790,14.9
Cassia,4884,728,14.9
Minidoka,4804,716,14.9
Blaine,3811,568,14.9
Gem,3524,525,14.9
Gooding,3096,461,14.9
Owyhee,3016,449,14.9
Shoshone,2973,443,14.9
Fremont,2788,415,14.9
Idaho,2660,396,14.9
Washington,2472,368,14.9
Teton,2296,342,14.9
Clearwater,2275,339,14.9
Boundary,2247,334,14.9
Franklin,2171,323,14.9
Benewah,2106,313,14.9
Valley,1758,262,14.9
Boise,1643,244,14.9
Power,1606,239,14.9
Lemhi,1564,233,14.9
Caribou,1360,202,14.9
Lincoln,1299,193,14.9
Bear Lake,1106,164,14.8
Adams,962,143,14.9
Oneida,947,141,14.9
Lewis,921,137,14.9
Custer,664,98,14.8
Butte,443,66,14.9
Camas,301,44,14.6
Clark,214,31,14.5



 BY POPULATION 


CATEGORY,Total Eligible People,Courses Allocated,Vaccine Allocation%
Aged 18-64 w cormorbidities,349304,52054,14.9
