BY COUNTY 


County,Total Eligible People,Courses Allocated,Vaccine Allocation%
Clark,291739,67076,23.0
Washoe,55102,12669,23.0
Lyon,9135,2100,23.0
Carson City,8463,1945,23.0
Nye,6742,1550,23.0
Elko,6675,1534,23.0
Douglas,5734,1318,23.0
Churchill,3431,788,23.0
Humboldt,2155,495,23.0
White Pine,1409,323,22.9
Pershing,1011,232,22.9
Mineral,778,178,22.9
Lander,723,166,23.0
Lincoln,702,161,22.9
Storey,507,116,22.9
Eureka,247,56,22.7
Esmeralda,155,35,22.6



 BY POPULATION 


CATEGORY,Total Eligible People,Courses Allocated,Vaccine Allocation%
Aged 16+ and smoker,394708,90742,23.0
