BY COUNTY 


County,Total Eligible People,Courses Allocated,Vaccine Allocation%
Miami-Dade,577907,78730,13.6
Broward,437040,59539,13.6
Hillsborough,354841,48341,13.6
Orange,339276,46220,13.6
Palm Beach,283151,38574,13.6
Duval,266879,36357,13.6
Pinellas,206506,28133,13.6
Polk,174467,23768,13.6
Pasco,138102,18814,13.6
Brevard,137459,18726,13.6
Volusia,135125,18408,13.6
Lee,107022,14580,13.6
Osceola,103773,14137,13.6
Seminole,100750,13725,13.6
Marion,90122,12277,13.6
Manatee,83058,11315,13.6
Escambia,81939,11162,13.6
Lake,76815,10464,13.6
St. Lucie,76008,10354,13.6
Leon,69502,9468,13.6
Sarasota,60684,8267,13.6
Alachua,58757,8004,13.6
Collier,52360,7133,13.6
Clay,51596,7029,13.6
Santa Rosa,49829,6788,13.6
Bay,48488,6605,13.6
St. Johns,47490,6469,13.6
Okaloosa,45653,6219,13.6
Hernando,43861,5975,13.6
Charlotte,32369,4409,13.6
Citrus,27019,3680,13.6
Indian River,24660,3359,13.6
Martin,23482,3199,13.6
Putnam,22526,3068,13.6
Highlands,22109,3011,13.6
Flagler,21934,2988,13.6
Nassau,19991,2723,13.6
Columbia,19520,2659,13.6
Walton,17223,2346,13.6
Sumter,16083,2191,13.6
Jackson,14895,2029,13.6
Monroe,14692,2001,13.6
Gadsden,14295,1947,13.6
Suwannee,12921,1760,13.6
Hendry,12153,1655,13.6
Okeechobee,12085,1646,13.6
Levy,11472,1562,13.6
DeSoto,9847,1341,13.6
Bradford,8991,1224,13.6
Wakulla,8450,1151,13.6
Baker,8252,1124,13.6
Washington,7964,1084,13.6
Hardee,7744,1054,13.6
Taylor,6575,895,13.6
Holmes,6144,837,13.6
Madison,5537,754,13.6
Gilchrist,5201,708,13.6
Union,4800,653,13.6
Dixie,4579,623,13.6
Calhoun,4322,588,13.6
Gulf,4261,580,13.6
Glades,4111,560,13.6
Hamilton,4110,559,13.6
Jefferson,3832,522,13.6
Franklin,3074,418,13.6
Liberty,2798,381,13.6
Lafayette,2702,368,13.6



 BY POPULATION 


CATEGORY,Total Eligible People,Courses Allocated,Vaccine Allocation%
Aged 18-64 w cormorbidities,4751183,647238,13.6
