BY COUNTY 


County,Total Eligible People,Courses Allocated,Vaccine Allocation%
Fairfax,4600,4600,100.0
Henrico,3270,3270,100.0
Richmond City,2716,2716,100.0
Virginia Beach City,2455,2455,100.0
Roanoke City,1769,1769,100.0
Chesterfield,1768,1768,100.0
Newport News City,1681,1681,100.0
Prince William,1361,1361,100.0
Albemarle,1317,1317,100.0
Norfolk City,1313,1313,100.0
Alexandria City,1256,1256,100.0
Arlington,1187,1187,100.0
Chesapeake City,1166,1166,100.0
Lynchburg City,1164,1164,100.0
Loudoun,1142,1142,100.0
Roanoke,1083,1083,100.0
Rockingham,764,764,100.0
James City,756,756,100.0
Hanover,727,727,100.0
Spotsylvania,687,687,100.0
Bedford,648,648,100.0
Staunton City,616,616,100.0
Washington,615,615,100.0
Danville City,611,611,100.0
Portsmouth City,604,604,100.0
Montgomery,600,600,100.0
Suffolk City,587,587,100.0
Hampton City,581,581,100.0
Harrisonburg City,566,566,100.0
Stafford,553,553,100.0
Campbell,551,551,100.0
Shenandoah,500,500,100.0
Culpeper,442,442,100.0
Mecklenburg,437,437,100.0
Augusta,423,423,100.0
Franklin,420,420,100.0
Frederick,413,413,100.0
Halifax,408,408,100.0
Petersburg City,408,408,100.0
Salem City,396,396,100.0
Prince Edward,376,376,100.0
Accomack,356,356,100.0
Wythe,356,356,100.0
Bristol City,338,338,100.0
Fauquier,335,335,100.0
Wise,324,324,100.0
Warren,316,316,100.0
Smyth,313,313,100.0
Henry,305,305,100.0
Botetourt,302,302,100.0
Colonial Heights City,299,299,100.0
Orange,296,296,100.0
Nottoway,289,289,100.0
Winchester City,285,285,100.0
Scott,280,280,100.0
Alleghany,278,278,100.0
Pittsylvania,276,276,100.0
Williamsburg City,262,262,100.0
Martinsville City,257,257,100.0
Lancaster,255,255,100.0
Fairfax City,253,253,100.0
Gloucester,251,251,100.0
Patrick,236,236,100.0
Pulaski,227,227,100.0
Charlottesville City,222,222,100.0
Isle of Wight,220,220,100.0
Page,210,210,100.0
Hopewell City,208,208,100.0
Russell,204,204,100.0
Emporia City,200,200,100.0
Lee,196,196,100.0
Clarke,192,192,100.0
Tazewell,182,182,100.0
Amherst,180,180,100.0
Carroll,180,180,100.0
Franklin City,179,179,100.0
Fredericksburg City,178,178,100.0
Rockbridge,175,175,100.0
Richmond,174,174,100.0
Waynesboro City,170,170,100.0
Galax City,159,159,100.0
Dinwiddie,159,159,100.0
Greene,158,158,100.0
Manassas City,148,148,100.0
Giles,128,128,100.0
York,119,119,100.0
Appomattox,117,117,100.0
Caroline,113,113,100.0
Buchanan,112,112,100.0
Grayson,105,105,100.0
Poquoson City,100,100,100.0
King George,94,94,100.0
Lexington City,94,94,100.0
Madison,90,90,100.0
Amelia,86,86,100.0
Falls Church City,75,75,100.0
Middlesex,74,74,100.0
Sussex,72,72,100.0
Buena Vista City,71,71,100.0
Essex,70,70,100.0
Goochland,68,68,100.0
Brunswick,66,66,100.0
Floyd,64,64,100.0
Fluvanna,59,59,100.0
Radford City,59,59,100.0
Southampton,58,58,100.0
Buckingham,57,57,100.0
Westmoreland,57,57,100.0
Bath,54,54,100.0
King William,53,53,100.0
Bland,51,51,100.0
Lunenburg,34,34,100.0
Norton City,29,29,100.0
Powhatan,28,28,100.0
Louisa,27,27,100.0
Cumberland,12,12,100.0



 BY POPULATION 


CATEGORY,Total Eligible People,Courses Allocated,Vaccine Allocation%
Long-term care facillity residents,55616,55616,100.0
