BY COUNTY 


County,Total Eligible People,Courses Allocated,Vaccine Allocation%
Suffolk,132478,49338,37.2
Middlesex,114155,42514,37.2
Worcester,60258,22441,37.2
Essex,51083,19024,37.2
Norfolk,44676,16638,37.2
Hampden,39637,14761,37.2
Bristol,35817,13339,37.2
Plymouth,30521,11366,37.2
Barnstable,14729,5485,37.2
Hampshire,8882,3307,37.2
Berkshire,8341,3106,37.2
Franklin,2994,1115,37.2
Dukes,525,195,37.1
Nantucket,367,136,37.1



 BY POPULATION 


CATEGORY,Total Eligible People,Courses Allocated,Vaccine Allocation%
Health care personnel,544463,202765,37.2
